Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2024-01-09,460.00323486328125,473.8800048828125,474.92999267578125,471.3500061035156,471.8699951171875,65931400
2024-01-10,462.604736328125,476.55999755859375,477.45001220703125,473.8699951171875,474.1600036621094,67310600
2024-01-11,462.40087890625,476.3500061035156,478.1199951171875,472.260009765625,477.5899963378906,77940700
2024-01-12,462.7212219238281,476.67999267578125,478.6000061035156,475.2300109863281,477.8399963378906,58026400
2024-01-16,461.02239990234375,474.92999267578125,476.6099853515625,473.05999755859375,475.260009765625,85014900
2024-01-17,458.4597473144531,472.2900085449219,472.7900085449219,469.8699951171875,471.82000732421875,68843900
2024-01-18,462.5367431640625,476.489990234375,477.05999755859375,472.4200134277344,474.010009765625,91856200
2024-01-19,468.3028564453125,482.42999267578125,482.7200012207031,476.5400085449219,477.6499938964844,110834500
2024-01-22,469.29296875,483.45001220703125,485.2200012207031,482.7799987792969,484.010009765625,75844900
2024-01-23,470.66162109375,484.8599853515625,485.1099853515625,482.8900146484375,484.010009765625,49945300
2024-01-24,471.1761169433594,485.3900146484375,488.7699890136719,484.8800048828125,487.80999755859375,81765000
2024-01-25,473.73883056640625,488.0299987792969,488.30999755859375,485.3900146484375,487.5799865722656,72525000
2024-01-26,473.13702392578125,487.4100036621094,489.1199951171875,486.5400085449219,487.5899963378906,76641600
2024-01-29,476.88397216796875,491.2699890136719,491.4200134277344,487.1700134277344,487.7300109863281,61322800
2024-01-30,476.5151672363281,490.8900146484375,491.6199951171875,490.1099853515625,490.55999755859375,58618400
2024-01-31,468.7396545410156,482.8800048828125,489.0799865722656,482.8599853515625,488.6199951171875,126011100
2024-02-01,474.87457275390625,489.20001220703125,489.2300109863281,483.79998779296875,484.6300048828125,91891600
2024-02-02,479.8738098144531,494.3500061035156,496.04998779296875,489.29998779296875,489.6499938964844,99228200
2024-02-05,478.12646484375,492.54998779296875,494.3800048828125,490.2300109863281,493.70001220703125,75757100
2024-02-06,479.5146179199219,493.9800109863281,494.32000732421875,492.04998779296875,493.5199890136719,55918600
2024-02-07,483.513916015625,498.1000061035156,498.5299987792969,495.3599853515625,496.2900085449219,70556500
2024-02-08,483.7275085449219,498.32000732421875,498.7099914550781,497.260009765625,498.1000061035156,52343600
2024-02-09,486.523193359375,501.20001220703125,501.6499938964844,498.489990234375,498.8399963378906,63979400
2024-02-12,486.3095397949219,500.9800109863281,503.5,500.239990234375,501.1700134277344,56502300
2024-02-13,479.6116943359375,494.0799865722656,497.0899963378906,490.7200012207031,494.5299987792969,113099200
2024-02-14,483.9701843261719,498.57000732421875,499.07000732421875,494.3999938964844,496.7900085449219,68387800
2024-02-15,487.3094787597656,502.010009765625,502.20001220703125,498.79998779296875,499.2900085449219,61683000
2024-02-16,484.8826904296875,499.510009765625,502.8699951171875,498.75,501.70001220703125,75532900
2024-02-20,482.2131652832031,496.760009765625,498.4100036621094,494.45001220703125,497.7200012207031,71736700
2024-02-21,482.6500244140625,497.2099914550781,497.3699951171875,493.55999755859375,495.4200134277344,59293400
2024-02-22,492.6387023925781,507.5,508.489990234375,503.0199890136719,504.010009765625,76402500
2024-02-23,492.9783935546875,507.8500061035156,510.1300048828125,507.1000061035156,509.2699890136719,61321800
2024-02-26,491.1728820800781,505.989990234375,508.75,505.8599853515625,508.29998779296875,50386700
2024-02-27,492.0853576660156,506.92999267578125,507.1600036621094,504.75,506.70001220703125,48854500
2024-02-28,491.4350280761719,506.260009765625,506.8599853515625,504.9599914550781,505.3299865722656,56506600
2024-02-29,493.2016906738281,508.0799865722656,509.739990234375,505.3500061035156,508.07000732421875,83924800
2024-03-01,497.8320007324219,512.8499755859375,513.2899780273438,508.55999755859375,508.9800109863281,76844800
2024-03-04,497.2981262207031,512.2999877929688,514.2000122070312,512.0,512.030029296875,49799300
2024-03-05,492.3279724121094,507.17999267578125,510.70001220703125,504.9100036621094,510.239990234375,72855600
2024-03-06,494.8227844238281,509.75,512.0700073242188,508.4200134277344,510.54998779296875,68382400
2024-03-07,499.73455810546875,514.8099975585938,515.8900146484375,509.80999755859375,513.1400146484375,58652100
2024-03-08,496.7351379394531,511.7200012207031,518.219970703125,511.1300048828125,515.4600219726562,86532500
2024-03-11,496.3080139160156,511.2799987792969,511.8800048828125,508.5,510.4800109863281,62557200
2024-03-12,501.6469421386719,516.780029296875,517.3800048828125,510.8599853515625,513.4500122070312,73114400
2024-03-13,500.8607177734375,515.969970703125,517.2899780273438,514.489990234375,517.1099853515625,55104100
2024-03-14,499.8705139160156,514.9500122070312,517.1300048828125,511.82000732421875,516.969970703125,110171800
2024-03-15,496.4380798339844,509.8299865722656,511.70001220703125,508.1199951171875,510.2099914550781,107646300
2024-03-18,499.3885192871094,512.8599853515625,515.47998046875,512.4400024414062,514.0,88893300
2024-03-19,502.16375732421875,515.7100219726562,516.0,511.1199951171875,512.1500244140625,60755300
2024-03-20,506.8083190917969,520.47998046875,520.6199951171875,515.0800170898438,515.77001953125,69594600
2024-03-21,508.4831848144531,522.2000122070312,524.1099853515625,521.9099731445312,523.3900146484375,60256100
2024-03-22,507.5191955566406,521.2100219726562,522.6099853515625,520.969970703125,522.1099853515625,79070800
2024-03-25,506.1170349121094,519.77001953125,520.9500122070312,519.6099853515625,519.7999877929688,48512100
2024-03-26,505.1822204589844,518.8099975585938,521.5800170898438,518.4000244140625,521.22998046875,65463700
2024-03-27,509.4277038574219,523.1699829101562,523.2100219726562,519.489990234375,521.7100219726562,82999800
2024-03-28,509.3303527832031,523.0700073242188,524.6099853515625,522.780029296875,523.2100219726562,96294900
2024-04-01,508.4441833496094,522.1599731445312,524.3800048828125,520.969970703125,523.8300170898438,62477500
2024-04-02,505.2115173339844,518.8400268554688,518.97998046875,516.47998046875,518.239990234375,74230300
2024-04-03,505.76641845703125,519.4099731445312,520.9500122070312,517.6699829101562,517.719970703125,59155800
2024-04-04,499.593017578125,513.0700073242188,523.8699951171875,512.760009765625,523.52001953125,96858100
2024-04-05,504.81219482421875,518.4299926757812,520.4400024414062,514.010009765625,514.4600219726562,74546500
2024-04-08,505.09454345703125,518.719970703125,520.1799926757812,517.8900146484375,519.1500244140625,48401800
2024-04-09,505.67889404296875,519.3200073242188,520.75,514.3499755859375,520.5,68049200
2024-04-10,500.615478515625,514.1199951171875,516.1599731445312,512.0900268554688,513.47998046875,82652800
2024-04-11,504.3935852050781,518.0,519.47998046875,512.0800170898438,515.6799926757812,70099000
2024-04-12,497.43133544921875,510.8500061035156,515.8200073242188,509.0799865722656,514.3699951171875,92561100
2024-04-15,491.1994934082031,504.45001220703125,515.2999877929688,503.5799865722656,515.1300048828125,92101400
2024-04-16,490.3036193847656,503.5299987792969,506.5,502.2099914550781,504.94000244140625,73484000
2024-04-17,487.4018859863281,500.54998779296875,506.2200012207031,499.1199951171875,506.04998779296875,75910300
2024-04-18,486.39892578125,499.5199890136719,504.1300048828125,498.55999755859375,501.9800109863281,74548100
2024-04-19,482.1534423828125,495.1600036621094,500.4599914550781,493.8599853515625,499.44000244140625,102212600
2024-04-22,486.59368896484375,499.7200012207031,502.3800048828125,495.42999267578125,497.8299865722656,67961000
2024-04-23,492.367919921875,505.6499938964844,506.0899963378906,499.5299987792969,501.7799987792969,64633600
2024-04-24,492.13421630859375,505.4100036621094,507.3699951171875,503.1300048828125,506.55999755859375,55928100
2024-04-25,490.2646484375,503.489990234375,504.2699890136719,497.489990234375,499.17999267578125,69122400
2024-04-26,494.9093322753906,508.260009765625,509.8800048828125,505.70001220703125,506.3500061035156,64306100
2024-04-29,496.6620788574219,510.05999755859375,510.75,507.25,510.0899963378906,46415400
2024-04-30,488.7943115234375,501.9800109863281,509.55999755859375,501.9800109863281,508.55999755859375,77483600
2024-05-01,487.2071838378906,500.3500061035156,508.19000244140625,499.8699951171875,501.3800048828125,80242800
2024-05-02,491.76422119140625,505.0299987792969,505.8900146484375,499.54998779296875,504.1499938964844,62550200
2024-05-03,497.85980224609375,511.2900085449219,512.5499877929688,508.55999755859375,511.1600036621094,72756700
2024-05-06,503.00115966796875,516.5700073242188,516.6099853515625,513.2999877929688,513.75,47264700
2024-05-07,503.55615234375,517.1400146484375,518.5700073242188,516.4500122070312,517.5599975585938,52561300
2024-05-08,503.60479736328125,517.1900024414062,517.739990234375,515.1400146484375,515.260009765625,42047200
2024-05-09,506.5065612792969,520.1699829101562,520.2100219726562,516.7100219726562,517.3800048828125,43643700
2024-05-10,507.1590270996094,520.8400268554688,522.6400146484375,519.5900268554688,521.8099975585938,52233200
2024-05-13,507.22705078125,520.9099731445312,522.6699829101562,519.739990234375,522.5599975585938,36716400
2024-05-14,509.55426025390625,523.2999877929688,523.8300170898438,520.5599975585938,521.1099853515625,57535900
2024-05-15,515.8641357421875,529.780029296875,530.0800170898438,525.1799926757812,525.8300170898438,59504900
2024-05-16,514.8026733398438,528.6900024414062,531.52001953125,528.5399780273438,529.8800048828125,50244800
2024-05-17,515.542724609375,529.4500122070312,529.52001953125,527.3200073242188,528.8099975585938,59187600
2024-05-20,516.1367797851562,530.0599975585938,531.5599975585938,529.1699829101562,529.5700073242188,37764200
2024-05-21,517.4026489257812,531.3599853515625,531.52001953125,529.0700073242188,529.280029296875,33437000
2024-05-22,515.9127197265625,529.8300170898438,531.3800048828125,527.5999755859375,530.6500244140625,48390000
2024-05-23,512.14453125,525.9600219726562,533.0700073242188,524.719970703125,532.9600219726562,57211200
2024-05-24,515.5330810546875,529.4400024414062,530.27001953125,526.8800048828125,527.8499755859375,41291100
2024-05-28,515.8932495117188,529.8099975585938,530.510009765625,527.1099853515625,530.27001953125,36269600
2024-05-29,512.2807006835938,526.0999755859375,527.3099975585938,525.3699951171875,525.6799926757812,45190300
2024-05-30,508.8824157714844,522.6099853515625,525.2000122070312,521.3300170898438,524.52001953125,46377600
2024-05-31,513.5173950195312,527.3699951171875,527.5,518.3599853515625,523.5900268554688,90785800
2024-06-03,513.9360961914062,527.7999877929688,529.3099975585938,522.5999755859375,529.02001953125,46835700
